Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
flush,if(pArgs->flush && cnv->fromUChar32!=0),n,1,1,bool,,,,
flush,if(pArgs->flush),n,1,0,bool,,,,
flush,if(!flush && s==sourceLimit && cnv->preFromULength>=0),n,1,2,bool,,,,
flush,if(pArgs->flush && cnv->toULength>0),n,1,1,bool,,,,
flush,if( !flush &&targetCnv->preFromULength>=0 && *pivotSource==*pivotTarget &&sourceCnv->UCharErrorBufferLength==0 && sourceCnv->preToULength>=0 && s==sourceLimit),n,1,5,bool,,,,
flush,if( *pivotSource<*pivotTarget ||U_FAILURE(*pErrorCode) ||targetCnv->preFromULength<0 ||fromUArgs.flush),n,1,3,bool,,,,
flush,if(!flush),n,1,0,bool,,,,
flush,if(flush),n,1,0,bool,,,,
flush,if(U_FAILURE(*pErrorCode) || (!flush && *pivotTarget==pivotStart)),n,1,3,bool,,,,
flush,if(flush && U_SUCCESS(*pErrorCode)),n,1,1,bool,,,,
flush,if( U_SUCCESS(*err) &&isTargetByteDBCS &&args->flush && source>=sourceLimit && args->converter->fromUChar32==0),n,1,4,bool,,,,
flush,if (U_SUCCESS(*err) && args->flush && source == sourceLimit),n,1,2,bool,,,,
flush_time,if (flush_time),n,1,0,num,,,,
flush_time,if (flush_time && flush_time != ~(ulong)0L),n,1,0,num,,,,
flush_time,if (sec == TIMEOUT_INF) ,n,1,0,num,,,,
"ft_min_word_len,ft_max_word_len","if (((length >= ft_min_word_len &&!is_stopword((char *)word->pos, word->len)) ||param->trunc) &&length < ft_max_word_len)",y,2,4,num,,,,
"ft_min_word_len,ft_max_word_len","if (skip_stopwords == false || (length >= ft_min_word_len && length < ft_max_word_len &&!is_stopword((char *)word->pos, word->len)))",y,2,4,num,,,,
ft_query_expansion_limit,if (flags & 4 && ft_query_expansion_limit),n,1,1,num,,,,
ft_query_expansion_limit,if (queue->max_elements == max_elements),n,1,1,num,,,,
general_log,if (general_log_table_exists),n,1,0,bool,,,,
general_log,"if (!log_command(thd, command) || !opt_general_log ||!(*general_log_handler_list))",y,1,3,bool,,,,
"general_log,log_output",if (opt_general_log && opt_general_logname &&!(log_output_options & 1) && !(log_output_options & 2)),n,2,1,,,,,
general_log,if (opt_general_log && query_logger.reopen_log_file(QUERY_LOG_GENERAL)),y,1,1,bool,,,,
"general_log,log_output",if ((options & 4096) && opt_general_log &&(log_output_options & 1)),n,2,1,,,,,
general_log,if (opt_general_log),n,1,0,,,,,
group_concat_max_len,if (length > max_length),n,1,1,num,,,,
group_concat_max_len,if (max_characters > 512),n,1,0,num,,,,
group_concat_max_len,if (thd->variables.group_concat_max_len > 4294967295),n,1,0,num,,,,
group_concat_max_len,if (group_concat_max_len < new_max_len),n,1,1,num,,,,
"host_cache_size,max_connections ",if (!host_cache_size_specified &&(host_cache_size = 128 + max_connections) > 628 &&(host_cache_size = 628 + ((max_connections - 500) / 20)) > 2000),n,2,1,,,,,
host_cache_size,if (table_def_init() || hostname_cache_init(host_cache_size)),y,1,0,,,,,
keep_files_on_create,if (thd->variables.keep_files_on_create),n,1,0,bool,,,,
key_cache_block_size,if (blocks >= 8),n,1,0,num,,,,
key_cache_block_size,if (blocks < 8),n,1,0,num,,,,
key_cache_block_size,if (key_cache_block_size == keycache->key_cache_block_size &&use_mem == keycache->key_cache_mem_size),n,1,3,num,,,,
key_cache_block_size,if (block_length > keycache->key_cache_block_size || offset),n,1,2,num,,,,
key_cache_block_size,if ((page_st == 2) ||((page_st == 1) &&(offset || (read_length < keycache->key_cache_block_size)))),n,1,3,num,,,,
key_cache_block_size,if (!(block->status & 1) &&((page_st == 1 &&(offset || read_length < keycache->key_cache_block_size)) ||(page_st == 2))),n,1,4,num,,,,
